1000,1318.501
1000,1317.097
1000,1309.959
1000,6,                    0,1323.925
1234,2,                    3,9872.876823338736
500,6,                    0,1317.72
1234,6,                    0,1316.4635332252835
1000,6,                    0,1318.746
1000,6,                    12,1072.085
1000,6,                    23,347.268
1000,6,                    22,508.582
1000,6,                    21,659.377
1000,6,                    20,725.416
1000,6,                    19,798.449
1000,6,                    19,793.144
1000,1,                    0,17433.118
1000,6,                    0,1318.619
